TransactionID,CustomerID,CustomerAge,CustomerGender,Occupation,CityTier,AccountBalance,TransactionAmount,TransactionType,MerchantCategory,TransactionHour,DeviceType,LoginAttempts,FailedTransactions,DaysSinceLastTransaction,AvgMonthlyTransactions,CreditScore,TransactionLocation,IPRiskScore,VPNUsed,MultipleDevicesUsed,IsFraud
TXN_125463,CUST_69179,29,Female,Salaried,Tier-3,62282.76,11122.48,NEFT,Electronics,0,Tablet,3,1,19,17.55,594.0,Home City,3.78,No,No,No
TXN_137353,CUST_58569,56,Female,Business,Tier-2,145932.6,1801.91,NEFT,Food,7,iPhone,0,1,57,63.56,781.0,Home City,52.49,No,No,No
TXN_119549,CUST_11657,26,Female,Student,Tier-1,116874.41,6363.97,Credit Card,Retail,11,iPhone,1,2,37,1.66,834.0,Home City,3.59,No,Yes,No
TXN_131087,CUST_7714,63,Female,Business,Tier-2,122392.7,3294.09,NEFT,Retail,8,Tablet,1,2,5,20.74,702.0,Home City,64.02,No,No,No
TXN_128509,CUST_52100,48,Male,Retired,Tier-2,95394.25,18391.56,Debit Card,Travel,9,Desktop,0,0,57,57.21,805.0,Home City,76.72,No,No,No
TXN_114249,CUST_57815,53,Male,Retired,Tier-2,108504.78,2617.95,RTGS,Retail,4,Tablet,2,1,13,51.5,748.0,Different City,54.76,No,No,No
TXN_101065,CUST_87662,53,Female,Salaried,Tier-1,99891.42,21880.55,UPI,Food,19,Desktop,1,0,6,20.08,803.0,Different City,38.52,Yes,Yes,No
TXN_139221,CUST_44666,74,Female,Retired,Tier-1,303435.77,4865.92,NEFT,Electronics,3,iPhone,1,1,41,45.43,653.0,Home City,46.27,Yes,No,No
TXN_139087,CUST_21459,41,Female,Self-Employed,Tier-3,252618.2,11334.75,RTGS,Retail,21,iPhone,1,2,23,54.53,804.0,International,61.14,No,Yes,Yes
TXN_132997,CUST_61271,64,Female,Self-Employed,Tier-3,54811.36,872.38,Debit Card,Electronics,18,Tablet,1,2,58,37.53,693.0,Home City,50.47,No,No,No
TXN_128649,CUST_89255,50,Female,Business,Tier-2,206702.75,22474.43,Credit Card,Healthcare,4,Desktop,5,0,15,38.89,712.0,Home City,20.41,No,No,No
TXN_137057,CUST_37589,35,Male,Government,Tier-1,161870.77,4899.78,Debit Card,Retail,16,Android,3,0,46,33.78,612.0,Different City,35.66,No,Yes,No
TXN_136322,CUST_56274,65,Female,Student,Tier-1,200712.97,38086.76,UPI,Retail,2,iPhone,2,1,46,7.81,596.0,Different City,30.85,No,No,Yes
TXN_100969,CUST_24519,51,Female,Business,Tier-2,231174.99,2522.28,UPI,Utilities,20,Android,2,2,0,26.35,710.0,International,100.0,No,No,No
TXN_109729,CUST_23957,37,Male,Self-Employed,Tier-3,113411.1,10289.34,UPI,Luxury,14,Tablet,1,2,34,29.36,677.0,Home City,14.07,No,No,No
TXN_116302,CUST_23033,34,Female,Business,Tier-2,78794.39,933.95,RTGS,Luxury,1,Desktop,3,3,19,52.7,621.0,Home City,22.92,Yes,No,Yes
TXN_121205,CUST_16429,42,Female,Salaried,Tier-2,5000.0,15319.9,Credit Card,Luxury,15,iPhone,0,1,7,26.3,620.0,Different City,73.2,No,No,No
TXN_121813,CUST_51407,29,Male,Government,Tier-3,282176.29,14407.47,Wallet,Retail,3,Desktop,2,0,36,66.85,880.0,Different City,68.59,No,No,No
TXN_129492,CUST_21941,28,Female,Government,tier-1,141209.57,7102.78,Credit Card,Utilities,14,Android,1,2,3,36.49,862.0,Home City,19.66,No,No,No
TXN_102714,CUST_6513,24,Female,Student,Tier-3,204246.92,11238.29,UPI,Healthcare,19,Android,2,2,21,56.36,624.0,Home City,1.0,No,No,No
TXN_130587,CUST_49718,36,Male,Retired,Tier-1,24075.93,4865.45,Wallet,Food,18,Android,5,0,38,15.71,877.0,Home City,66.81,No,No,No
TXN_129765,CUST_96185,26,Female,Salaried,Tier-1,217387.41,35416.19,RTGS,Gaming,17,iPhone,1,0,33,44.36,681.0,Home City,26.18,No,No,No
TXN_118603,CUST_29622,55,Male,Student,Tier-1,194486.36,20941.71,NEFT,Retail,18,Android,3,0,20,78.65,803.0,Home City,16.07,No,No,No
TXN_136770,CUST_32137,29,Male,Student,Tier-2,165634.04,6575.81,Debit Card,Luxury,10,Tablet,1,0,35,23.93,761.0,Different City,51.73,Yes,No,No
TXN_114901,CUST_30300,46,Male,Self-Employed,Tier-2,117237.51,540.02,RTGS,Gaming,7,Desktop,1,2,30,57.47,747.0,International,33.07,No,No,Yes
TXN_132667,CUST_30154,41,Female,Salaried,Tier-2,137809.81,19367.53,RTGS,Utilities,7,Desktop,0,0,47,26.26,765.0,Home City,25.66,No,No,No
TXN_121251,CUST_93948,61,Male,Salaried,Tier-2,5000.0,3067.8,RTGS,Healthcare,9,Desktop,0,0,42,4.89,839.0,Home City,20.3,No,No,No
TXN_120417,CUST_87639,53,Male,Government,Tier-1,168955.64,13205.48,Debit Card,Luxury,8,iPhone,1,1,30,22.09,544.0,Home City,1.0,No,No,No
TXN_107796,CUST_2999,63,Male,Salaried,Tier-3,63597.33,11600.33,RTGS,Healthcare,1,iPhone,5,0,0,36.2,715.0,Home City,,No,No,No
TXN_126621,CUST_1186,32,Male,Business,Tier-2,161148.82,1072.42,Credit Card,Healthcare,14,Tablet,3,1,53,49.13,660.0,Home City,51.94,No,No,No
TXN_102280,CUST_5081,72,Female,Business,Tier-1,88944.61,,Credit Card,Travel,14,iPhone,0,0,5,30.34,715.0,Different City,27.73,Yes,No,No
TXN_130058,CUST_17027,60,Male,Government,Tier-2,5000.0,2030.75,Credit Card,Travel,10,Android,2,0,13,23.65,779.0,Home City,41.07,No,No,No
TXN_119449,CUST_3841,57,Female,Business,Tier-1,285388.09,18147.46,UPI,Food,18,iPhone,0,1,35,6.47,595.0,Home City,33.58,No,No,No
TXN_135886,CUST_55677,50,Female,Business,Tier-2,82920.15,16612.27,NEFT,Luxury,16,Desktop,1,0,18,26.52,676.0,Home City,,No,No,Yes
TXN_139649,CUST_61468,22,Male,Government,Tier-1,179597.87,34593.5,Credit Card,Retail,21,Tablet,2,1,19,29.89,802.0,Home City,32.65,No,No,No
TXN_108577,CUST_83111,30,Female,Government,Tier-2,105293.13,14529.2,Wallet,Healthcare,23,iPhone,0,3,7,31.45,843.0,Home City,8.49,No,No,No
TXN_126183,CUST_6357,49,Male,Self-Employed,Tier-2,179541.65,18924.82,Wallet,Travel,15,Android,1,2,50,42.16,847.0,Home City,4.52,Yes,No,Yes
TXN_124472,CUST_65796,55,Male,Self-Employed,Tier-2,229045.82,1883.27,UPI,Gaming,17,Desktop,0,0,46,50.62,735.0,Home City,65.59,No,No,No
TXN_129920,CUST_72963,34,Male,Retired,Tier-2,93936.4,12247.2,NEFT,Retail,16,iPhone,0,0,49,21.49,657.0,Home City,52.26,No,No,No
TXN_104437,CUST_1089,36,Male,Retired,Tier-2,186131.05,28460.03,UPI,Food,11,iPhone,5,1,4,11.57,699.0,Home City,35.87,No,No,Yes
TXN_131091,CUST_11794,65,Female,Salaried,Tier-1,203507.99,1932.96,Credit Card,Electronics,19,Tablet,0,1,55,49.14,588.0,Home City,52.58,No,No,Yes
TXN_107140,CUST_46838,48,Male,Student,Tier-3,95226.45,19821.53,NEFT,Utilities,17,iPhone,3,0,18,60.23,,Home City,84.24,No,No,No
TXN_105842,CUST_48020,29,Female,Student,Tier-2,182286.82,31154.21,Credit Card,Retail,1,Desktop,0,0,30,45.14,761.0,Home City,41.2,No,No,No
TXN_126665,CUST_73564,28,Male,Salaried,Tier-1,204056.77,10843.55,RTGS,Electronics,6,Desktop,1,2,22,28.39,771.0,Home City,46.58,No,No,No
TXN_134859,CUST_77856,68,Female,Self-Employed,Tier-2,85302.44,4561.67,Credit Card,Gaming,21,Android,5,1,11,40.54,664.0,Home City,50.57,Yes,No,No
TXN_111769,CUST_11169,52,Male,Self-Employed,Tier-2,85966.84,1228.51,UPI,Utilities,2,Desktop,1,1,45,24.96,860.0,Home City,24.95,No,No,No
TXN_124589,CUST_1055,21,Female,Student,Tier-2,119598.07,3532.26,RTGS,Travel,22,iPhone,2,1,36,68.22,861.0,Home City,74.81,No,No,Yes
TXN_107299,CUST_57369,35,Female,Student,Tier-1,127840.07,1170.47,UPI,Electronics,7,Android,3,0,47,35.28,730.0,Home City,1.0,No,No,No
TXN_129633,CUST_93221,44,Male,Salaried,Tier-3,176956.25,11659.22,UPI,Electronics,22,iPhone,3,0,51,36.7,788.0,Home City,15.55,Yes,Yes,No
TXN_135830,CUST_26971,43,Female,Student,Tier-2,196977.91,1167.43,UPI,Luxury,4,Tablet,2,1,54,29.53,839.0,Different City,41.95,No,Yes,Yes
TXN_111451,CUST_56850,54,Male,Business,Tier-2,287078.74,19772.05,Debit Card,Luxury,20,Desktop,2,0,8,29.52,685.0,Home City,15.46,No,Yes,Yes
TXN_132552,CUST_63671,60,Male,Student,Tier-2,270295.06,147.73,Debit Card,,20,Desktop,3,0,22,39.94,740.0,Home City,44.5,No,Yes,No
TXN_128570,CUST_40223,23,Male,Salaried,Tier-1,88077.32,8798.52,Debit Card,Gaming,14,Desktop,0,1,44,16.99,623.0,Home City,37.92,No,No,No
TXN_104406,CUST_24081,32,Male,Student,Tier-2,58260.9,43213.37,UPI,Retail,5,iPhone,2,1,2,46.67,737.0,Different City,31.78,No,No,No
TXN_109404,CUST_31254,30,Male,Retired,Tier-1,118178.99,15995.77,NEFT,Utilities,21,Desktop,2,3,31,36.36,602.0,Home City,71.41,No,No,No
TXN_106314,CUST_47338,68,Female,Business,Tier-1,353105.58,4427.57,Wallet,Gaming,8,iPhone,1,1,58,48.06,765.0,Home City,35.56,No,No,No
TXN_128538,CUST_15570,49,Female,Business,Tier-2,136716.92,6984.76,UPI,Travel,12,Desktop,1,0,54,28.9,595.0,Home City,36.34,No,No,No
TXN_101826,CUST_14875,61,Male,Business,Tier-1,137907.32,2518.58,NEFT,Utilities,11,Desktop,4,0,28,20.91,645.0,Home City,1.0,Yes,No,No
TXN_125274,CUST_62529,32,Female,Business,Tier-1,111367.28,26245.18,Credit Card,Electronics,12,Tablet,0,0,18,43.92,818.0,Home City,40.74,No,No,No
TXN_137544,CUST_27399,65,Male,Government,Tier-2,188300.24,8874.91,NEFT,Utilities,6,Tablet,2,3,59,40.69,789.0,Home City,24.29,No,No,No
TXN_116245,CUST_44389,59,Male,Student,Tier-1,315496.08,,Wallet,Travel,23,iPhone,1,0,24,47.29,749.0,Different City,15.72,No,No,Yes
TXN_137265,CUST_99206,59,Female,Student,Tier-2,206385.32,10819.88,RTGS,Retail,15,Tablet,1,0,21,27.33,589.0,Home City,,No,No,No
TXN_115851,CUST_18940,29,Male,Salaried,Tier-1,130218.26,5832.82,Wallet,Luxury,8,Desktop,0,0,54,43.91,792.0,Home City,70.57,No,No,No
TXN_113214,CUST_60695,46,Female,Retired,Tier-1,105701.65,30231.69,Debit Card,Gaming,14,Tablet,1,1,17,30.75,737.0,Home City,26.63,No,No,No
TXN_107044,CUST_51010,29,Female,Student,Tier-3,45890.38,1811.01,UPI,Gaming,18,iPhone,1,2,58,25.84,704.0,Different City,21.84,No,No,No
TXN_139591,CUST_95707,69,Male,Self-Employed,Tier-1,166212.54,4243.24,Wallet,Luxury,11,Android,4,0,11,34.8,893.0,Home City,71.3,No,No,Yes
TXN_115779,CUST_67676,32,Female,Salaried,Tier-2,242226.53,5317.84,Wallet,Utilities,22,Android,2,1,8,38.8,628.0,Home City,49.31,No,Yes,No
TXN_106882,CUST_75843,56,Male,Retired,Tier-1,31616.39,7218.97,UPI,Food,15,Android,1,2,3,13.37,570.0,Home City,53.12,No,No,No
TXN_114745,CUST_74156,35,Female,Self-Employed,Tier-1,182657.48,25807.98,Credit Card,Travel,9,Android,3,2,11,24.14,633.0,Home City,80.5,No,No,Yes
TXN_134725,CUST_95750,51,Male,Retired,Tier-2,14402.17,31083.48,Credit Card,Luxury,11,iPhone,1,0,41,29.52,791.0,Home City,37.89,Yes,No,No
TXN_134219,CUST_96468,70,Male,Business,Tier-1,94424.54,13827.33,UPI,Healthcare,16,Tablet,3,0,32,23.96,660.0,Different City,9.82,No,Yes,No
TXN_107206,CUST_51940,47,Male,Student,Tier-2,289776.3,8595.64,Debit Card,Electronics,4,Desktop,2,3,37,11.79,810.0,Home City,41.1,No,No,Yes
TXN_120139,CUST_64890,66,Female,Retired,Tier-3,214550.09,24108.34,Credit Card,Travel,9,Android,2,1,22,16.99,864.0,Home City,32.74,No,No,Yes
TXN_110974,CUST_1268,46,Female,Business,Tier-3,269055.13,8709.72,Wallet,Food,13,Desktop,1,0,17,56.26,507.0,Home City,42.61,No,No,No
TXN_102743,CUST_31518,38,Male,Salaried,Tier-3,106776.13,24059.04,Wallet,Retail,1,iPhone,0,0,55,21.84,671.0,Home City,29.93,No,Yes,No
TXN_102356,CUST_67683,29,Male,Government,Tier-2,117232.06,34256.16,NEFT,Utilities,15,Desktop,2,1,4,1.0,695.0,Home City,62.29,No,No,No
TXN_113624,CUST_54097,62,Male,Business,Tier-3,150081.7,12134.52,RTGS,Retail,20,Android,1,1,16,44.9,791.0,Home City,31.19,No,No,No
TXN_138685,CUST_29176,42,Male,Business,Tier-2,63187.38,8670.43,NEFT,Healthcare,22,Desktop,2,0,10,43.31,700.0,Different City,,No,No,No
TXN_122195,CUST_20391,18,Male,Student,Tier-1,287529.57,8743.58,NEFT,Healthcare,18,Desktop,5,0,39,3.65,745.0,Home City,1.0,No,No,No
TXN_130077,CUST_49773,48,Female,Student,Tier-2,62411.42,9575.57,UPI,Retail,7,iPhone,0,0,58,32.2,831.0,Different City,29.61,No,Yes,No
TXN_128379,CUST_4969,34,Male,Self-Employed,Tier-3,235875.01,27133.91,NEFT,Retail,12,iPhone,4,0,43,31.61,624.0,Different City,,Yes,Yes,No
TXN_109897,CUST_30423,60,Female,Retired,Tier-1,100416.89,5829.95,Wallet,Luxury,16,Desktop,3,2,29,23.62,753.0,Different City,1.0,No,No,Yes
TXN_100758,CUST_52645,39,Female,Student,Tier-1,89887.2,5190.38,UPI,Travel,0,Desktop,2,1,21,42.62,811.0,Different City,28.26,No,No,No
TXN_109914,CUST_25820,29,Female,Student,Tier-1,126197.01,3133.42,Credit Card,Travel,19,Tablet,1,0,55,58.44,732.0,Home City,56.75,Yes,No,No
TXN_107175,CUST_72620,18,Male,Government,Tier-1,127531.79,1566.45,NEFT,Electronics,17,Android,2,1,27,20.76,810.0,Home City,5.21,Yes,No,No
TXN_127384,CUST_96636,33,Female,Student,Tier-3,139337.36,7440.01,Credit Card,Food,23,Desktop,2,2,13,50.52,647.0,International,39.25,No,Yes,Yes
TXN_134393,CUST_66122,28,Male,Student,Tier-1,58119.75,7510.94,Debit Card,Travel,18,Tablet,2,1,54,38.76,900.0,Different City,57.45,No,No,No
TXN_106477,CUST_71574,70,Male,Student,Tier-3,344408.57,19472.69,Wallet,Travel,12,iPhone,0,0,11,38.44,,Home City,42.61,No,No,No
TXN_100299,CUST_37509,35,Male,Government,Tier-2,206233.73,2393.55,Debit Card,Utilities,4,Android,4,1,40,32.09,592.0,Different City,15.22,No,No,No
TXN_113934,CUST_1481,60,Female,Retired,Tier-1,5000.0,13042.73,Debit Card,Utilities,1,iPhone,0,1,50,43.47,753.0,Home City,59.02,No,Yes,No
TXN_119881,CUST_35435,59,Female,Self-Employed,Tier-2,120517.64,25480.73,UPI,Electronics,10,Android,0,0,40,46.2,695.0,Home City,44.95,No,Yes,No
TXN_135143,CUST_56818,72,Male,Student,Tier-2,110495.08,13356.77,NEFT,Healthcare,1,Tablet,1,2,12,46.85,639.0,Home City,24.95,No,No,No
TXN_137460,CUST_89257,23,Female,Retired,Tier-1,76357.23,7261.02,Wallet,Healthcare,22,Desktop,3,2,3,40.57,768.0,Home City,53.75,No,No,No
TXN_107975,CUST_75747,37,Female,Self-Employed,Tier-1,428209.88,7944.47,NEFT,Healthcare,20,iPhone,5,2,14,52.8,665.0,Home City,21.75,No,No,No
TXN_103086,CUST_44288,19,Male,Salaried,Tier-2,28202.59,17278.36,RTGS,Gaming,0,Tablet,2,1,8,16.57,756.0,Different City,37.41,No,No,No
TXN_120135,CUST_65265,44,Female,Student,Tier-1,17774.38,2892.64,NEFT,Food,21,Desktop,1,1,56,43.86,756.0,Home City,1.0,No,Yes,No
TXN_108594,CUST_48735,33,Female,Business,Tier-2,42239.13,2658.92,credit card,Retail,21,Tablet,3,1,11,29.28,632.0,Different City,69.73,No,No,No
TXN_110559,CUST_86463,68,Female,Government,Tier-2,300470.24,4043.79,Debit Card,Electronics,1,Android,1,0,32,34.13,681.0,Home City,62.0,No,No,Yes
TXN_100832,CUST_91520,27,Male,Salaried,Tier-2,129470.23,1589.36,Debit Card,Food,19,Tablet,2,0,31,35.7,774.0,Home City,20.09,No,No,No
TXN_103564,CUST_12253,38,Female,Self-Employed,Tier-3,195368.17,8080.78,Wallet,Retail,4,iPhone,2,1,0,30.68,562.0,Home City,1.0,No,No,No
TXN_114634,CUST_63105,32,Female,Student,Tier-1,247448.91,7743.4,Wallet,Utilities,6,Tablet,1,1,15,15.52,684.0,Different City,34.92,No,Yes,No
TXN_116659,CUST_75447,26,Male,Salaried,Tier-2,207528.36,4063.94,UPI,Electronics,6,Android,2,0,11,33.19,680.0,Home City,1.87,No,Yes,No
TXN_138235,CUST_41032,20,Female,Government,Tier-3,5000.0,4186.28,NEFT,Retail,1,Android,1,1,6,37.87,638.0,Different City,29.03,No,No,Yes
TXN_134947,CUST_97195,68,Male,Government,Tier-2,80408.23,2482.13,NEFT,Luxury,8,Desktop,3,1,1,32.12,732.0,Home City,27.89,No,Yes,No
TXN_123684,CUST_77356,53,Female,Student,Tier-2,278879.64,6370.04,Debit Card,Electronics,6,Tablet,1,1,22,19.48,753.0,Different City,56.8,No,No,No
TXN_114006,CUST_54907,34,Male,Self-Employed,Tier-2,79850.36,100.0,Debit Card,Travel,14,Desktop,2,0,52,16.29,690.0,Different City,38.34,No,No,No
TXN_102965,CUST_71687,31,Male,Government,Tier-3,132027.36,13945.39,Debit Card,Healthcare,5,Android,1,1,46,56.18,895.0,Home City,45.23,No,No,No
TXN_107318,CUST_40760,34,Male,Retired,Tier-1,69572.86,3681.29,UPI,Luxury,21,Desktop,2,1,35,29.04,754.0,Home City,37.09,No,No,No
TXN_106677,CUST_3900,44,Male,Student,Tier-3,164391.16,58957.86,UPI,Utilities,14,iPhone,2,0,11,26.83,599.0,Different City,63.06,No,No,No
TXN_118558,CUST_66494,28,Female,Student,Tier-1,286278.89,11005.39,UPI,Electronics,20,Android,3,0,12,42.72,745.0,Home City,35.45,No,No,No
TXN_139935,CUST_92249,21,Male,Retired,Tier-2,45501.68,26955.67,Debit Card,Gaming,11,Tablet,0,0,56,38.26,671.0,Different City,53.3,No,No,No
TXN_101108,CUST_77955,56,Male,Self-Employed,Tier-1,141719.13,3065.24,Credit Card,Luxury,17,Tablet,1,0,54,9.07,742.0,Home City,24.54,Yes,No,Yes
TXN_122842,CUST_6316,44,Female,Government,Tier-3,286120.8,343.3,Wallet,Healthcare,10,Desktop,1,0,11,47.16,651.0,International,22.24,No,No,No
TXN_116898,CUST_80869,34,Female,Student,Tier-2,156133.23,11319.67,Wallet,Utilities,16,iPhone,2,2,46,34.26,777.0,Home City,19.39,No,No,Yes
TXN_106780,CUST_82087,70,Female,Business,Tier-3,120930.05,7190.56,Credit Card,Retail,22,Tablet,0,0,10,33.02,751.0,Different City,31.0,No,No,No
TXN_125511,CUST_7978,55,Female,Retired,Tier-3,152588.29,4614.2,Credit Card,Gaming,11,Android,0,1,37,33.15,770.0,Home City,27.64,No,No,No
TXN_123672,CUST_24009,39,Female,Salaried,Tier-1,111518.92,17150.98,Debit Card,Food,8,iPhone,1,0,8,43.88,692.0,Home City,,No,Yes,Yes
TXN_114690,CUST_66251,26,Female,Retired,tier-1,210736.68,281.26,UPI,Luxury,19,Android,4,1,27,42.89,,Home City,32.62,No,No,No
TXN_107885,CUST_46693,36,Male,Student,Tier-2,212438.94,3162.14,Credit Card,Gaming,20,iPhone,2,0,2,23.52,669.0,Home City,21.91,No,Yes,No
TXN_134078,CUST_33092,31,Female,Business,Tier-2,241394.36,2588.08,UPI,Electronics,16,Tablet,3,0,1,35.18,888.0,Different City,19.92,No,No,No
TXN_125581,CUST_53858,68,Male,Salaried,Tier-1,258929.64,809.36,UPI,Healthcare,5,Android,1,0,20,40.42,657.0,Different City,6.63,No,No,Yes
TXN_103958,CUST_51335,65,Male,Self-Employed,Tier-2,54733.05,2120.63,Debit Card,Retail,11,iPhone,1,1,3,40.83,600.0,Home City,29.62,No,No,No
TXN_116954,CUST_3453,40,Male,Self-Employed,tier-1,76295.82,1940.49,Credit Card,Retail,16,Desktop,1,1,29,51.53,737.0,Home City,59.98,No,Yes,No
TXN_118996,CUST_56199,24,Female,Self-Employed,Tier-2,158863.69,253.4,NEFT,Luxury,15,Android,0,2,35,66.67,652.0,Home City,36.03,No,No,No
TXN_116832,CUST_58001,68,Male,Self-Employed,Tier-1,156207.37,23666.21,Credit Card,Gaming,16,Tablet,3,0,24,27.08,754.0,International,54.24,No,No,No
TXN_120765,CUST_49356,72,Male,Government,Tier-1,5000.0,31636.54,RTGS,Travel,20,Tablet,2,1,35,20.93,627.0,Different City,13.84,No,No,No
TXN_129924,CUST_66601,26,Male,Business,Tier-2,159997.83,3730.21,UPI,Food,16,Desktop,3,0,33,24.59,739.0,Different City,31.87,No,No,No
TXN_126762,CUST_87506,56,Male,Business,Tier-2,242093.48,11841.88,RTGS,Electronics,5,Tablet,1,0,57,19.79,666.0,Home City,60.23,No,Yes,Yes
TXN_128597,CUST_11736,57,Female,Student,Tier-3,178921.0,11702.24,Credit Card,Food,8,Android,1,0,51,36.41,882.0,Home City,23.2,No,No,No
TXN_105057,CUST_22891,69,Female,Business,Tier-1,251485.87,100.76,Credit Card,Luxury,6,iPhone,1,1,40,11.18,707.0,Home City,52.38,No,No,Yes
